CATIMA dE/dx table for genfit  (A=3 Z=1 in matA=2)
density 6.61e-05 g/cm3 = 0.0661 mg/cm3
Energy Unit  dEdx_elec  dEdx_nucl  Range Unit  lonStra Unit  latStra Unit
0.282299 MeV 1.33154 0 39.5265 mm 0.332431 mm 0 mm
0.286429 MeV 1.33097 0 39.9934 mm 0.335758 mm 0 mm
0.290619 MeV 1.33023 0 40.4674 mm 0.339123 mm 0 mm
0.294871 MeV 1.32934 0 40.9486 mm 0.342525 mm 0 mm
0.299184 MeV 1.32825 0 41.4372 mm 0.345968 mm 0 mm
0.303561 MeV 1.327 0 41.9334 mm 0.349452 mm 0 mm
0.308002 MeV 1.32558 0 42.4373 mm 0.352979 mm 0 mm
0.312508 MeV 1.32398 0 42.9492 mm 0.356551 mm 0 mm
0.31708 MeV 1.32222 0 43.4693 mm 0.36017 mm 0 mm
0.321719 MeV 1.32026 0 43.9977 mm 0.363837 mm 0 mm
0.326425 MeV 1.31813 0 44.5347 mm 0.367555 mm 0 mm
0.3312 MeV 1.31584 0 45.0804 mm 0.371325 mm 0 mm
0.336046 MeV 1.31336 0 45.6351 mm 0.37515 mm 0 mm
0.340962 MeV 1.3107 0 46.1991 mm 0.37903 mm 0 mm
0.34595 MeV 1.30788 0 46.7725 mm 0.382969 mm 0 mm
0.351011 MeV 1.30486 0 47.3556 mm 0.386969 mm 0 mm
0.356146 MeV 1.30169 0 47.9486 mm 0.391032 mm 0 mm
0.361356 MeV 1.29833 0 48.5518 mm 0.39516 mm 0 mm
0.366643 MeV 1.29479 0 49.1654 mm 0.399355 mm 0 mm
0.372006 MeV 1.2911 0 49.7898 mm 0.403621 mm 0 mm
0.377449 MeV 1.28722 0 50.4252 mm 0.407959 mm 0 mm
0.38297 MeV 1.28317 0 51.0718 mm 0.412372 mm 0 mm
0.388573 MeV 1.27895 0 51.7301 mm 0.416864 mm 0 mm
0.394258 MeV 1.27456 0 52.4002 mm 0.421436 mm 0 mm
0.400025 MeV 1.27001 0 53.0825 mm 0.426092 mm 0 mm
0.405877 MeV 1.26529 0 53.7773 mm 0.430834 mm 0 mm
0.411815 MeV 1.26041 0 54.485 mm 0.435666 mm 0 mm
0.41784 MeV 1.25537 0 55.2058 mm 0.440591 mm 0 mm
0.423953 MeV 1.25017 0 55.9402 mm 0.445613 mm 0 mm
0.430155 MeV 1.24481 0 56.6885 mm 0.450734 mm 0 mm
0.436448 MeV 1.2393 0 57.451 mm 0.455958 mm 0 mm
0.442833 MeV 1.23363 0 58.2282 mm 0.461288 mm 0 mm
0.449311 MeV 1.22782 0 59.0205 mm 0.466729 mm 0 mm
0.455884 MeV 1.22186 0 59.8282 mm 0.472285 mm 0 mm
0.462553 MeV 1.21575 0 60.6518 mm 0.477959 mm 0 mm
0.46932 MeV 1.20951 0 61.4917 mm 0.483755 mm 0 mm
0.476186 MeV 1.20313 0 62.3483 mm 0.489677 mm 0 mm
0.483152 MeV 1.19662 0 63.2221 mm 0.495731 mm 0 mm
0.490221 MeV 1.18997 0 64.1136 mm 0.50192 mm 0 mm
0.497392 MeV 1.18319 0 65.0233 mm 0.508249 mm 0 mm
0.504669 MeV 1.1763 0 65.9516 mm 0.514722 mm 0 mm
0.512052 MeV 1.16928 0 66.8991 mm 0.521346 mm 0 mm
0.519543 MeV 1.16215 0 67.8663 mm 0.528124 mm 0 mm
0.527143 MeV 1.15491 0 68.8537 mm 0.535063 mm 0 mm
0.534855 MeV 1.14755 0 69.8619 mm 0.542167 mm 0 mm
0.54268 MeV 1.1401 0 70.8915 mm 0.549442 mm 0 mm
0.550619 MeV 1.13254 0 71.9431 mm 0.556893 mm 0 mm
0.558674 MeV 1.12488 0 73.0172 mm 0.564528 mm 0 mm
0.566847 MeV 1.11713 0 74.1145 mm 0.572351 mm 0 mm
0.57514 MeV 1.1093 0 75.2357 mm 0.580369 mm 0 mm
0.583554 MeV 1.10137 0 76.3814 mm 0.588588 mm 0 mm
0.592091 MeV 1.09338 0 77.5523 mm 0.597016 mm 0 mm
0.600752 MeV 1.0853 0 78.7491 mm 0.605658 mm 0 mm
0.609541 MeV 1.07716 0 79.9725 mm 0.614522 mm 0 mm
0.618458 MeV 1.06894 0 81.2232 mm 0.623615 mm 0 mm
0.627506 MeV 1.06066 0 82.5021 mm 0.632945 mm 0 mm
0.636686 MeV 1.05233 0 83.8099 mm 0.642518 mm 0 mm
0.646 MeV 1.04394 0 85.1475 mm 0.652343 mm 0 mm
0.655451 MeV 1.03549 0 86.5155 mm 0.662429 mm 0 mm
0.66504 MeV 1.02701 0 87.915 mm 0.672782 mm 0 mm
0.674769 MeV 1.01848 0 89.3468 mm 0.683412 mm 0 mm
0.68464 MeV 1.00992 0 90.8117 mm 0.694327 mm 0 mm
0.694656 MeV 1.00132 0 92.3108 mm 0.705536 mm 0 mm
0.704819 MeV 0.992687 0 93.8449 mm 0.717049 mm 0 mm
0.71513 MeV 0.984035 0 95.4151 mm 0.728874 mm 0 mm
0.725591 MeV 0.975359 0 97.0224 mm 0.741022 mm 0 mm
0.736206 MeV 0.966668 0 98.6677 mm 0.753502 mm 0 mm
0.746977 MeV 0.95796 0 100.352 mm 0.766324 mm 0 mm
0.757904 MeV 0.949243 0 102.077 mm 0.779499 mm 0 mm
0.768992 MeV 0.940522 0 103.843 mm 0.793037 mm 0 mm
0.780242 MeV 0.931797 0 105.652 mm 0.806949 mm 0 mm
0.791656 MeV 0.923073 0 107.504 mm 0.821247 mm 0 mm
0.803238 MeV 0.914356 0 109.402 mm 0.835941 mm 0 mm
0.814989 MeV 0.905645 0 111.345 mm 0.851043 mm 0 mm
0.826912 MeV 0.896947 0 113.336 mm 0.866566 mm 0 mm
0.839009 MeV 0.888262 0 115.376 mm 0.882521 mm 0 mm
0.851283 MeV 0.879596 0 117.466 mm 0.898922 mm 0 mm
0.863737 MeV 0.870951 0 119.608 mm 0.915779 mm 0 mm
0.876373 MeV 0.86233 0 121.802 mm 0.933108 mm 0 mm
0.889193 MeV 0.853735 0 124.051 mm 0.950921 mm 0 mm
0.902202 MeV 0.845171 0 126.356 mm 0.969231 mm 0 mm
0.9154 MeV 0.836639 0 128.718 mm 0.988053 mm 0 mm
0.928792 MeV 0.828143 0 131.14 mm 1.0074 mm 0 mm
0.94238 MeV 0.819683 0 133.622 mm 1.02729 mm 0 mm
0.956166 MeV 0.811263 0 136.167 mm 1.04773 mm 0 mm
0.970154 MeV 0.802885 0 138.775 mm 1.06875 mm 0 mm
0.984347 MeV 0.794552 0 141.45 mm 1.09035 mm 0 mm
0.998747 MeV 0.786265 0 144.192 mm 1.11255 mm 0 mm
1.01336 MeV 0.778026 0 147.004 mm 1.13537 mm 0 mm
1.02818 MeV 0.769838 0 149.887 mm 1.15882 mm 0 mm
1.04322 MeV 0.761702 0 152.843 mm 1.18293 mm 0 mm
1.05849 MeV 0.75362 0 155.875 mm 1.2077 mm 0 mm
1.07397 MeV 0.745593 0 158.984 mm 1.23316 mm 0 mm
1.08968 MeV 0.737622 0 162.173 mm 1.25932 mm 0 mm
1.10562 MeV 0.729711 0 165.443 mm 1.2862 mm 0 mm
1.1218 MeV 0.721858 0 168.798 mm 1.31383 mm 0 mm
1.13821 MeV 0.714066 0 172.238 mm 1.34221 mm 0 mm
1.15486 MeV 0.706337 0 175.767 mm 1.37137 mm 0 mm
1.17176 MeV 0.698669 0 179.387 mm 1.40133 mm 0 mm
1.1889 MeV 0.691067 0 183.1 mm 1.43211 mm 0 mm
1.20629 MeV 0.683529 0 186.909 mm 1.46373 mm 0 mm
1.22394 MeV 0.676055 0 190.816 mm 1.49621 mm 0 mm
1.24184 MeV 0.668649 0 194.824 mm 1.52957 mm 0 mm
1.26001 MeV 0.66131 0 198.936 mm 1.56383 mm 0 mm
1.27844 MeV 0.654037 0 203.155 mm 1.59902 mm 0 mm
1.29715 MeV 0.646833 0 207.483 mm 1.63515 mm 0 mm
1.31612 MeV 0.639696 0 211.923 mm 1.67226 mm 0 mm
1.33538 MeV 0.632629 0 216.478 mm 1.71036 mm 0 mm
1.35491 MeV 0.625631 0 221.152 mm 1.74948 mm 0 mm
1.37474 MeV 0.6187 0 225.947 mm 1.78964 mm 0 mm
1.39485 MeV 0.611841 0 230.867 mm 1.83088 mm 0 mm
1.41525 MeV 0.605048 0 235.915 mm 1.8732 mm 0 mm
