CATIMA dE/dx table for genfit  (A=1 Z=1 in matA=2.014)
density 6.61e-05 g/cm3 = 0.0661 mg/cm3
Energy Unit  dEdx_elec  dEdx_nucl  Range Unit  lonStra Unit  latStra Unit
0.230359 MeV 0.998897 0 30.7308 mm 0.406772 mm 0 mm
0.233729 MeV 0.990343 0 31.2394 mm 0.413369 mm 0 mm
0.237148 MeV 0.981765 0 31.76 mm 0.420146 mm 0 mm
0.240618 MeV 0.97316 0 32.2928 mm 0.427106 mm 0 mm
0.244138 MeV 0.964536 0 32.8382 mm 0.434257 mm 0 mm
0.247709 MeV 0.9559 0 33.3965 mm 0.441603 mm 0 mm
0.251333 MeV 0.947249 0 33.9682 mm 0.449151 mm 0 mm
0.25501 MeV 0.938589 0 34.5535 mm 0.456908 mm 0 mm
0.258741 MeV 0.929929 0 35.153 mm 0.464878 mm 0 mm
0.262526 MeV 0.921265 0 35.7669 mm 0.473069 mm 0 mm
0.266366 MeV 0.912606 0 36.3956 mm 0.481487 mm 0 mm
0.270263 MeV 0.903951 0 37.0397 mm 0.490138 mm 0 mm
0.274217 MeV 0.895307 0 37.6994 mm 0.49903 mm 0 mm
0.278229 MeV 0.886676 0 38.3753 mm 0.50817 mm 0 mm
0.282299 MeV 0.878061 0 39.0677 mm 0.517565 mm 0 mm
0.286429 MeV 0.869464 0 39.7773 mm 0.527222 mm 0 mm
0.290619 MeV 0.860891 0 40.5043 mm 0.537148 mm 0 mm
0.294871 MeV 0.852343 0 41.2494 mm 0.547351 mm 0 mm
0.299184 MeV 0.843823 0 42.0129 mm 0.55784 mm 0 mm
0.303561 MeV 0.835332 0 42.7955 mm 0.568622 mm 0 mm
0.308002 MeV 0.826876 0 43.5976 mm 0.579705 mm 0 mm
0.312508 MeV 0.818455 0 44.4198 mm 0.591098 mm 0 mm
0.31708 MeV 0.810073 0 45.2627 mm 0.602809 mm 0 mm
0.321719 MeV 0.801731 0 46.1267 mm 0.614847 mm 0 mm
0.326425 MeV 0.793433 0 47.0125 mm 0.62722 mm 0 mm
0.3312 MeV 0.785179 0 47.9207 mm 0.639939 mm 0 mm
0.336046 MeV 0.776972 0 48.852 mm 0.653012 mm 0 mm
0.340962 MeV 0.768814 0 49.8068 mm 0.666448 mm 0 mm
0.34595 MeV 0.760707 0 50.7859 mm 0.680258 mm 0 mm
0.351011 MeV 0.752653 0 51.79 mm 0.69445 mm 0 mm
0.356146 MeV 0.744652 0 52.8196 mm 0.709036 mm 0 mm
0.361356 MeV 0.736707 0 53.8756 mm 0.724026 mm 0 mm
0.366643 MeV 0.72882 0 54.9586 mm 0.739429 mm 0 mm
0.372006 MeV 0.720991 0 56.0693 mm 0.755257 mm 0 mm
0.377449 MeV 0.713221 0 57.2086 mm 0.771521 mm 0 mm
0.38297 MeV 0.705512 0 58.3771 mm 0.788231 mm 0 mm
0.388573 MeV 0.697866 0 59.5757 mm 0.805399 mm 0 mm
0.394258 MeV 0.690281 0 60.8052 mm 0.823036 mm 0 mm
0.400025 MeV 0.682762 0 62.0663 mm 0.841156 mm 0 mm
0.405877 MeV 0.675306 0 63.3601 mm 0.859768 mm 0 mm
0.411815 MeV 0.667916 0 64.6873 mm 0.878886 mm 0 mm
0.41784 MeV 0.660592 0 66.0488 mm 0.898523 mm 0 mm
0.423953 MeV 0.653334 0 67.4455 mm 0.91869 mm 0 mm
0.430155 MeV 0.646145 0 68.8785 mm 0.939402 mm 0 mm
0.436448 MeV 0.639022 0 70.3486 mm 0.960671 mm 0 mm
0.442833 MeV 0.631967 0 71.8568 mm 0.982511 mm 0 mm
0.449311 MeV 0.624981 0 73.4043 mm 1.00494 mm 0 mm
0.455884 MeV 0.618062 0 74.9919 mm 1.02796 mm 0 mm
0.462553 MeV 0.611213 0 76.6207 mm 1.0516 mm 0 mm
0.46932 MeV 0.604433 0 78.292 mm 1.07586 mm 0 mm
0.476186 MeV 0.597721 0 80.0067 mm 1.10077 mm 0 mm
0.483152 MeV 0.591078 0 81.766 mm 1.12634 mm 0 mm
0.490221 MeV 0.584505 0 83.5712 mm 1.15258 mm 0 mm
0.497392 MeV 0.577999 0 85.4234 mm 1.17951 mm 0 mm
0.504669 MeV 0.571562 0 87.3238 mm 1.20715 mm 0 mm
0.512052 MeV 0.565193 0 89.2737 mm 1.23551 mm 0 mm
0.519543 MeV 0.558893 0 91.2745 mm 1.26461 mm 0 mm
0.527143 MeV 0.552661 0 93.3275 mm 1.29447 mm 0 mm
0.534855 MeV 0.546495 0 95.4339 mm 1.32511 mm 0 mm
0.54268 MeV 0.540398 0 97.5953 mm 1.35653 mm 0 mm
0.550619 MeV 0.534368 0 99.8131 mm 1.38878 mm 0 mm
0.558674 MeV 0.528402 0 102.089 mm 1.42185 mm 0 mm
0.566847 MeV 0.522504 0 104.424 mm 1.45577 mm 0 mm
0.57514 MeV 0.51667 0 106.819 mm 1.49056 mm 0 mm
0.583554 MeV 0.510903 0 109.278 mm 1.52625 mm 0 mm
0.592091 MeV 0.5052 0 111.8 mm 1.56285 mm 0 mm
0.600752 MeV 0.49956 0 114.389 mm 1.60038 mm 0 mm
0.609541 MeV 0.493984 0 117.044 mm 1.63886 mm 0 mm
0.618458 MeV 0.488472 0 119.769 mm 1.67832 mm 0 mm
0.627506 MeV 0.48302 0 122.566 mm 1.71878 mm 0 mm
0.636686 MeV 0.477631 0 125.435 mm 1.76026 mm 0 mm
0.646 MeV 0.472302 0 128.378 mm 1.80279 mm 0 mm
0.655451 MeV 0.467035 0 131.399 mm 1.8464 mm 0 mm
0.66504 MeV 0.461828 0 134.498 mm 1.89109 mm 0 mm
0.674769 MeV 0.456679 0 137.679 mm 1.93691 mm 0 mm
0.68464 MeV 0.451589 0 140.942 mm 1.98388 mm 0 mm
0.694656 MeV 0.446556 0 144.29 mm 2.03202 mm 0 mm
0.704819 MeV 0.441582 0 147.725 mm 2.08136 mm 0 mm
0.71513 MeV 0.436664 0 151.25 mm 2.13194 mm 0 mm
0.725591 MeV 0.431801 0 154.867 mm 2.18377 mm 0 mm
0.736206 MeV 0.426994 0 158.578 mm 2.23689 mm 0 mm
0.746977 MeV 0.422243 0 162.385 mm 2.29133 mm 0 mm
0.757904 MeV 0.417543 0 166.292 mm 2.34712 mm 0 mm
0.768992 MeV 0.412898 0 170.301 mm 2.40429 mm 0 mm
0.780242 MeV 0.408305 0 174.414 mm 2.46288 mm 0 mm
0.791656 MeV 0.403765 0 178.634 mm 2.52291 mm 0 mm
0.803238 MeV 0.399276 0 182.964 mm 2.58443 mm 0 mm
0.814989 MeV 0.394837 0 187.406 mm 2.64746 mm 0 mm
0.826912 MeV 0.390448 0 191.965 mm 2.71204 mm 0 mm
0.839009 MeV 0.38611 0 196.642 mm 2.77821 mm 0 mm
0.851283 MeV 0.381818 0 201.441 mm 2.84601 mm 0 mm
0.863737 MeV 0.377576 0 206.364 mm 2.91548 mm 0 mm
0.876373 MeV 0.373381 0 211.416 mm 2.98665 mm 0 mm
0.889193 MeV 0.369233 0 216.599 mm 3.05957 mm 0 mm
0.902202 MeV 0.365132 0 221.918 mm 3.13427 mm 0 mm
0.9154 MeV 0.361076 0 227.374 mm 3.21081 mm 0 mm
0.928792 MeV 0.357065 0 232.973 mm 3.28922 mm 0 mm
0.94238 MeV 0.353099 0 238.717 mm 3.36956 mm 0 mm
0.956166 MeV 0.349176 0 244.611 mm 3.45186 mm 0 mm
0.970154 MeV 0.345298 0 250.659 mm 3.53617 mm 0 mm
0.984347 MeV 0.341461 0 256.863 mm 3.62254 mm 0 mm
0.998747 MeV 0.337667 0 263.229 mm 3.71102 mm 0 mm
1.01336 MeV 0.333915 0 269.761 mm 3.80164 mm 0 mm
1.02818 MeV 0.330204 0 276.463 mm 3.89445 mm 0 mm
1.04322 MeV 0.326534 0 283.34 mm 3.98951 mm 0 mm
1.05849 MeV 0.322904 0 290.395 mm 4.08689 mm 0 mm
1.07397 MeV 0.319313 0 297.634 mm 4.18665 mm 0 mm
1.08968 MeV 0.315761 0 305.062 mm 4.28886 mm 0 mm
1.10562 MeV 0.312248 0 312.683 mm 4.39356 mm 0 mm
1.1218 MeV 0.308774 0 320.503 mm 4.50083 mm 0 mm
1.13821 MeV 0.305337 0 328.526 mm 4.61071 mm 0 mm
1.15486 MeV 0.301937 0 336.758 mm 4.72328 mm 0 mm
1.17176 MeV 0.298574 0 345.205 mm 4.83861 mm 0 mm
1.1889 MeV 0.295247 0 353.872 mm 4.95676 mm 0 mm
1.20629 MeV 0.291956 0 362.765 mm 5.0778 mm 0 mm
1.22394 MeV 0.288701 0 371.89 mm 5.2018 mm 0 mm
1.24184 MeV 0.28548 0 381.252 mm 5.32884 mm 0 mm
1.26001 MeV 0.282294 0 390.859 mm 5.45898 mm 0 mm
1.27844 MeV 0.279143 0 400.716 mm 5.59232 mm 0 mm
1.29715 MeV 0.276024 0 410.831 mm 5.72893 mm 0 mm
1.31612 MeV 0.27294 0 421.209 mm 5.86888 mm 0 mm
1.33538 MeV 0.269888 0 431.858 mm 6.01227 mm 0 mm
1.35491 MeV 0.266869 0 442.786 mm 6.15918 mm 0 mm
1.37474 MeV 0.263882 0 453.998 mm 6.30969 mm 0 mm
1.39485 MeV 0.260927 0 465.504 mm 6.4639 mm 0 mm
1.41525 MeV 0.258003 0 477.31 mm 6.6219 mm 0 mm
1.43596 MeV 0.255111 0 489.424 mm 6.78379 mm 0 mm
1.45696 MeV 0.252249 0 501.855 mm 6.94966 mm 0 mm
1.47828 MeV 0.249417 0 514.611 mm 7.11961 mm 0 mm
1.4999 MeV 0.246616 0 527.701 mm 7.29375 mm 0 mm
1.52185 MeV 0.243844 0 541.133 mm 7.47217 mm 0 mm
1.54411 MeV 0.241102 0 554.917 mm 7.655 mm 0 mm
1.5667 MeV 0.238389 0 569.061 mm 7.84234 mm 0 mm
1.58962 MeV 0.235705 0 583.576 mm 8.03431 mm 0 mm
1.61288 MeV 0.233049 0 598.47 mm 8.23102 mm 0 mm
1.63647 MeV 0.230421 0 613.755 mm 8.43259 mm 0 mm
1.66041 MeV 0.227821 0 629.441 mm 8.63915 mm 0 mm
1.6847 MeV 0.225248 0 645.537 mm 8.85082 mm 0 mm
1.70935 MeV 0.222703 0 662.056 mm 9.06773 mm 0 mm
1.73436 MeV 0.220185 0 679.008 mm 9.29002 mm 0 mm
1.75973 MeV 0.217693 0 696.405 mm 9.51783 mm 0 mm
1.78547 MeV 0.215228 0 714.258 mm 9.75128 mm 0 mm
1.81159 MeV 0.212789 0 732.58 mm 9.99054 mm 0 mm
1.83809 MeV 0.210375 0 751.384 mm 10.2357 mm 0 mm
1.86498 MeV 0.207988 0 770.681 mm 10.487 mm 0 mm
1.89227 MeV 0.205625 0 790.486 mm 10.7446 mm 0 mm
1.91995 MeV 0.203288 0 810.811 mm 11.0086 mm 0 mm
1.94804 MeV 0.200976 0 831.671 mm 11.2791 mm 0 mm
