   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   113.000 MeV  2.4178E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   114.000 MeV  2.4006E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   115.000 MeV  2.3838E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   116.000 MeV  2.3672E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   117.000 MeV  2.3508E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   118.000 MeV  2.3348E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   119.000 MeV  2.3190E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   120.000 MeV  2.3034E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   121.000 MeV  2.2881E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   122.000 MeV  2.2730E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   123.000 MeV  2.2581E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   124.000 MeV  2.2435E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   125.000 MeV  2.2291E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   126.000 MeV  2.2149E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   127.000 MeV  2.2009E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   128.000 MeV  2.1871E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   129.000 MeV  2.1736E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   130.000 MeV  2.1602E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   131.000 MeV  2.1470E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   132.000 MeV  2.1340E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   133.000 MeV  2.1212E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   134.000 MeV  2.1086E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
