   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   239.000 MeV  9.2001E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   240.000 MeV  9.1693E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   241.000 MeV  9.1387E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   242.000 MeV  9.1084E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   243.000 MeV  9.0783E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   244.000 MeV  9.0484E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   245.000 MeV  9.0187E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   246.000 MeV  8.9893E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   247.000 MeV  8.9601E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   248.000 MeV  8.9311E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
