   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   210.000 MeV  8.1368E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   211.000 MeV  8.1062E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   212.000 MeV  8.0759E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   213.000 MeV  8.0459E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   214.000 MeV  8.0161E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   215.000 MeV  7.9865E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   216.000 MeV  7.9573E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   217.000 MeV  7.9283E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   218.000 MeV  7.8995E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   219.000 MeV  7.8710E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   220.000 MeV  7.8427E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   221.000 MeV  7.8147E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   222.000 MeV  7.7869E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   223.000 MeV  7.7593E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   224.000 MeV  7.7320E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   225.000 MeV  7.7049E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   226.000 MeV  7.6780E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   227.000 MeV  7.6514E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   228.000 MeV  7.6250E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   229.000 MeV  7.5988E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   230.000 MeV  7.5728E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   231.000 MeV  7.5471E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   232.000 MeV  7.5215E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   233.000 MeV  7.4961E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   234.000 MeV  7.4710E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   235.000 MeV  7.4460E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   236.000 MeV  7.4213E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   237.000 MeV  7.3967E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   238.000 MeV  7.3724E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   239.000 MeV  7.3482E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   240.000 MeV  7.3243E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   241.000 MeV  7.3005E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   242.000 MeV  7.2769E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   243.000 MeV  7.2535E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   244.000 MeV  7.2303E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   245.000 MeV  7.2072E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   246.000 MeV  7.1843E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   247.000 MeV  7.1617E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   248.000 MeV  7.1391E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
