   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   136.000 MeV  3.3550E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   137.000 MeV  3.3342E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   138.000 MeV  3.3136E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   139.000 MeV  3.2932E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   140.000 MeV  3.2732E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   141.000 MeV  3.2533E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   142.000 MeV  3.2338E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   143.000 MeV  3.2144E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   144.000 MeV  3.1953E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   145.000 MeV  3.1765E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   146.000 MeV  3.1579E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   147.000 MeV  3.1395E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   148.000 MeV  3.1213E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   149.000 MeV  3.1033E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   150.000 MeV  3.0856E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   151.000 MeV  3.0681E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   152.000 MeV  3.0508E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   153.000 MeV  3.0336E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   154.000 MeV  3.0167E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   155.000 MeV  3.0000E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   156.000 MeV  2.9835E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   157.000 MeV  2.9671E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   158.000 MeV  2.9510E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   159.000 MeV  2.9350E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   160.000 MeV  2.9192E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   161.000 MeV  2.9036E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   162.000 MeV  2.8882E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   163.000 MeV  2.8729E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   164.000 MeV  2.8578E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   165.000 MeV  2.8429E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   166.000 MeV  2.8281E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   167.000 MeV  2.8135E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
