   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   122.000 MeV  5.0904E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   123.000 MeV  5.0544E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   124.000 MeV  5.0190E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   125.000 MeV  4.9841E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   126.000 MeV  4.9497E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   127.000 MeV  4.9159E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   128.000 MeV  4.8826E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   129.000 MeV  4.8498E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   130.000 MeV  4.8174E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   131.000 MeV  4.7856E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   132.000 MeV  4.7542E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   133.000 MeV  4.7232E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   134.000 MeV  4.6927E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   135.000 MeV  4.6627E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   136.000 MeV  4.6331E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   137.000 MeV  4.6038E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   138.000 MeV  4.5751E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   139.000 MeV  4.5467E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   140.000 MeV  4.5187E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   141.000 MeV  4.4911E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   142.000 MeV  4.4638E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   143.000 MeV  4.4370E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   144.000 MeV  4.4105E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   145.000 MeV  4.3844E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   146.000 MeV  4.3586E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   147.000 MeV  4.3331E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   148.000 MeV  4.3080E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   149.000 MeV  4.2832E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   150.000 MeV  4.2588E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   151.000 MeV  4.2347E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   152.000 MeV  4.2108E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   153.000 MeV  4.1873E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   154.000 MeV  4.1641E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   155.000 MeV  4.1412E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   156.000 MeV  4.1186E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   157.000 MeV  4.0962E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   158.000 MeV  4.0742E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   159.000 MeV  4.0524E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   160.000 MeV  4.0308E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   161.000 MeV  4.0096E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   162.000 MeV  3.9886E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   163.000 MeV  3.9679E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   164.000 MeV  3.9474E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   165.000 MeV  3.9271E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   166.000 MeV  3.9071E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   167.000 MeV  3.8874E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   168.000 MeV  3.8679E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   169.000 MeV  3.8486E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
