   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    88.000 MeV  4.1439E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    89.000 MeV  4.1049E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    90.000 MeV  4.0668E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    91.000 MeV  4.0295E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    92.000 MeV  3.9929E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    93.000 MeV  3.9571E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    94.000 MeV  3.9220E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    95.000 MeV  3.8876E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    96.000 MeV  3.8538E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    97.000 MeV  3.8207E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    98.000 MeV  3.7882E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    99.000 MeV  3.7563E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   100.000 MeV  3.7251E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   101.000 MeV  3.6944E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   102.000 MeV  3.6643E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   103.000 MeV  3.6347E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   104.000 MeV  3.6056E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   105.000 MeV  3.5771E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   106.000 MeV  3.5491E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   107.000 MeV  3.5215E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   108.000 MeV  3.4945E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   109.000 MeV  3.4679E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   110.000 MeV  3.4417E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   111.000 MeV  3.4160E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   112.000 MeV  3.3907E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   113.000 MeV  3.3659E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   114.000 MeV  3.3414E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   115.000 MeV  3.3174E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   116.000 MeV  3.2937E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   117.000 MeV  3.2704E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   118.000 MeV  3.2475E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   119.000 MeV  3.2250E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   120.000 MeV  3.2028E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   121.000 MeV  3.1809E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   122.000 MeV  3.1594E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   123.000 MeV  3.1382E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   124.000 MeV  3.1173E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   125.000 MeV  3.0968E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   126.000 MeV  3.0765E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   127.000 MeV  3.0566E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   128.000 MeV  3.0369E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   129.000 MeV  3.0175E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   130.000 MeV  2.9984E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   131.000 MeV  2.9796E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   132.000 MeV  2.9610E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   133.000 MeV  2.9427E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   134.000 MeV  2.9247E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   135.000 MeV  2.9069E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   136.000 MeV  2.8894E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   137.000 MeV  2.8721E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   138.000 MeV  2.8550E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   139.000 MeV  2.8382E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   140.000 MeV  2.8216E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   141.000 MeV  2.8052E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   142.000 MeV  2.7890E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   143.000 MeV  2.7730E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   144.000 MeV  2.7573E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   145.000 MeV  2.7417E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   146.000 MeV  2.7264E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   147.000 MeV  2.7113E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   148.000 MeV  2.6963E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   149.000 MeV  2.6815E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   150.000 MeV  2.6669E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   151.000 MeV  2.6525E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   152.000 MeV  2.6383E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   153.000 MeV  2.6243E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   154.000 MeV  2.6104E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
