   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    94.000 MeV  1.6181E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    95.000 MeV  1.6051E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    96.000 MeV  1.5922E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    97.000 MeV  1.5797E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    98.000 MeV  1.5673E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    99.000 MeV  1.5553E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   100.000 MeV  1.5434E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   101.000 MeV  1.5318E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   102.000 MeV  1.5204E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   103.000 MeV  1.5092E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   104.000 MeV  1.4982E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   105.000 MeV  1.4874E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   106.000 MeV  1.4768E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   107.000 MeV  1.4663E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   108.000 MeV  1.4561E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   109.000 MeV  1.4461E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   110.000 MeV  1.4362E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   111.000 MeV  1.4265E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   112.000 MeV  1.4170E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   113.000 MeV  1.4076E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   114.000 MeV  1.3984E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   115.000 MeV  1.3893E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   116.000 MeV  1.3804E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   117.000 MeV  1.3716E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   118.000 MeV  1.3630E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   119.000 MeV  1.3545E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   120.000 MeV  1.3461E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   121.000 MeV  1.3379E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   122.000 MeV  1.3298E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   123.000 MeV  1.3218E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   124.000 MeV  1.3140E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   125.000 MeV  1.3062E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   126.000 MeV  1.2986E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   127.000 MeV  1.2912E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   128.000 MeV  1.2838E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   129.000 MeV  1.2765E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   130.000 MeV  1.2693E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   131.000 MeV  1.2623E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   132.000 MeV  1.2553E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   133.000 MeV  1.2485E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   134.000 MeV  1.2417E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   135.000 MeV  1.2350E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   136.000 MeV  1.2285E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   137.000 MeV  1.2220E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   138.000 MeV  1.2156E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   139.000 MeV  1.2093E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   140.000 MeV  1.2031E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   141.000 MeV  1.1970E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   142.000 MeV  1.1909E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   143.000 MeV  1.1850E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   144.000 MeV  1.1791E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   145.000 MeV  1.1733E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   146.000 MeV  1.1676E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   147.000 MeV  1.1619E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   148.000 MeV  1.1563E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   149.000 MeV  1.1508E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   150.000 MeV  1.1454E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   151.000 MeV  1.1400E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   152.000 MeV  1.1347E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   153.000 MeV  1.1295E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   154.000 MeV  1.1243E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   155.000 MeV  1.1192E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   156.000 MeV  1.1142E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   157.000 MeV  1.1092E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   158.000 MeV  1.1043E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   159.000 MeV  1.0994E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   160.000 MeV  1.0946E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   161.000 MeV  1.0899E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   162.000 MeV  1.0852E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   163.000 MeV  1.0806E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   164.000 MeV  1.0760E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   165.000 MeV  1.0715E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   166.000 MeV  1.0670E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   167.000 MeV  1.0626E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   168.000 MeV  1.0582E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   169.000 MeV  1.0539E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   170.000 MeV  1.0497E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   171.000 MeV  1.0454E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   172.000 MeV  1.0413E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   173.000 MeV  1.0371E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   174.000 MeV  1.0331E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   175.000 MeV  1.0290E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   176.000 MeV  1.0250E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   177.000 MeV  1.0211E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   178.000 MeV  1.0172E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   179.000 MeV  1.0133E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   180.000 MeV  1.0095E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   181.000 MeV  1.0058E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   182.000 MeV  1.0020E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   183.000 MeV  9.9832E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   184.000 MeV  9.9466E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   185.000 MeV  9.9105E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   186.000 MeV  9.8747E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   187.000 MeV  9.8392E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   188.000 MeV  9.8042E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   189.000 MeV  9.7695E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   190.000 MeV  9.7350E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   191.000 MeV  9.7010E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   192.000 MeV  9.6674E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   193.000 MeV  9.6341E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   194.000 MeV  9.6011E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   195.000 MeV  9.5685E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   196.000 MeV  9.5361E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   197.000 MeV  9.5041E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   198.000 MeV  9.4724E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   199.000 MeV  9.4410E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   200.000 MeV  9.4099E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   201.000 MeV  9.3791E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   202.000 MeV  9.3487E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   203.000 MeV  9.3185E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   204.000 MeV  9.2886E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   205.000 MeV  9.2590E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   206.000 MeV  9.2296E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   207.000 MeV  9.2005E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   208.000 MeV  9.1718E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   209.000 MeV  9.1433E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   210.000 MeV  9.1150E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   211.000 MeV  9.0870E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   212.000 MeV  9.0593E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   213.000 MeV  9.0318E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   214.000 MeV  9.0045E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   215.000 MeV  8.9776E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   216.000 MeV  8.9508E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   217.000 MeV  8.9244E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   218.000 MeV  8.8981E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   219.000 MeV  8.8721E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   220.000 MeV  8.8463E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   221.000 MeV  8.8208E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   222.000 MeV  8.7954E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   223.000 MeV  8.7703E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   224.000 MeV  8.7454E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   225.000 MeV  8.7207E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   226.000 MeV  8.6963E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   227.000 MeV  8.6720E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   228.000 MeV  8.6480E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   229.000 MeV  8.6242E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   230.000 MeV  8.6005E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
