eid,x,y,z,q
5,-66.2612,15.5519,977.723,152.821
5,-46.6282,9.95207,975.002,4081.38
5,-36.8118,-9.95207,961.892,1345.8
5,-29.4494,5.70141,963.367,104.991
5,-44.1741,5.70141,962.216,127.851
5,-93.2565,19.8025,961.834,311.421
5,-88.3482,28.3038,961.837,1946.37
5,-88.3482,22.704,961.883,1929.21
5,-44.1741,11.3012,962.946,2097.62
5,-90.8024,18.4534,961.507,1004.33
5,-90.8024,24.0532,961.221,149.585
5,-44.1741,-11.3012,961.557,585.568
5,-85.8941,24.0532,960.503,77.8101
5,-22.0871,1.45075,961.632,211.762
5,-39.2659,2.7999,961.818,542.989
5,-90.8024,15.5519,960.922,98.642
5,-44.1741,-5.70141,961.504,950.972
5,-26.9953,7.05056,943.812,122.728
5,-83.44,19.8025,944.052,2374.5
5,-80.9859,24.0532,944.07,2565.35
5,-31.9035,1.45075,942.31,296.702
5,-31.9035,7.05056,940.291,248.169
5,-41.72,7.05056,941.551,274.812
5,-41.72,-1.45075,941.27,486.286
5,-83.44,14.2027,941.462,553.399
5,-41.72,-7.05056,941.547,1015.27
5,-85.8941,15.5519,938.764,107.3
5,-80.9859,18.4534,938.014,244.058
5,-41.72,9.95207,935.679,3228.68
5,-44.1741,14.2027,926.579,3013.3
5,-80.9859,9.95207,925.056,440.345
5,-115.344,26.9547,925.008,184.437
5,-103.073,14.2027,924.992,222.841
5,-115.344,32.5545,925.192,444.026
5,-95.7106,9.95207,925.282,407.982
5,-88.3483,36.8052,922.629,147.869
5,-88.3483,39.7067,923.48,131.069
5,-39.2659,11.3012,920.363,3502.23
5,-39.2659,14.2027,918.272,4352.68
5,-41.72,15.5519,917.838,3893.37
5,-29.4494,-2.7999,912.198,88.5649
5,-24.5412,5.70141,911.719,298.752
5,-66.2612,9.95207,910.642,104.864
5,-85.8941,41.0558,902.205,503.869
5,-14.7247,19.8025,898.578,75.7877
5,-17.1788,18.4534,899.182,94.0126
5,-85.8941,35.456,897.277,1377.16
5,-36.8118,15.5519,891.795,4396.72
5,-34.3577,14.2027,876.998,3426.5
5,-78.5318,28.3038,875.118,114.324
5,-19.6329,19.8025,875.112,418.256
5,-19.6329,14.2027,875.074,236.318
5,-76.0777,35.456,875.543,131.075
5,-22.0871,15.5519,873.632,82.3549
5,-76.0777,26.9547,873.638,343.534
5,-73.6235,31.2053,874.029,117.135
5,-51.5365,18.4534,874.392,1399.68
5,-22.0871,18.4534,872.487,825.575
5,-63.8071,31.2053,871.29,357.916
5,-36.8118,18.4534,872.407,2651.19
5,-73.6235,36.8052,869.972,609.596
5,-66.2612,26.9547,864.004,78.251
5,-29.4494,14.2027,864.206,701.912
5,-29.4494,11.3012,858.408,125.388
5,-85.8941,32.5545,859.034,233.857
5,-34.3577,19.8025,855.829,2973.61
5,-31.9035,18.4534,854.404,3394.45
5,-31.9035,15.5519,853.908,3696.19
5,-34.3577,11.3012,843.937,175.859
5,-31.9035,9.95207,842.712,230.465
5,-93.2565,39.7067,840.036,480.832
5,-93.2565,36.8052,840.387,488.255
5,-98.1647,31.2053,839.479,231.956
5,-95.7106,32.5545,839.468,164.115
5,-90.8024,41.0558,839.455,85.9084
