eid,x,y,z,q
5,-73.6235,22.704,812.131,440.058
5,-24.5412,14.2027,810.526,136.787
5,-71.1694,32.5545,811.018,409.754
5,-12.2706,24.0532,804.932,212.118
5,-26.9953,15.5519,807.984,672.687
5,245.412,-11.369,803.965,61.5604
5,-12.2706,18.4534,805.478,49.6212
5,-14.7247,19.8025,804.731,237.189
5,-14.7247,22.704,801.465,751.192
5,240.504,-14.3382,798.305,44.7742
5,-29.4494,22.704,799.981,1109.35
5,-24.5412,19.8025,796.995,3880.17
5,-14.7247,14.2027,795.697,115.701
5,-12.2706,9.95207,795.002,179.179
5,-56.4447,24.0532,795.372,1052.89
5,-53.9906,19.8025,795.029,737.205
5,-56.4447,18.4534,795.366,64.4427
5,-9.81648,11.3012,794.889,303.698
