eid,x,y,z,q
2,-36.8118,24.0532,382.238,400.55
2,-44.1741,22.704,378.556,3736
2,-49.0824,22.704,378.415,3801.4
2,83.44,107.717,377.559,1434.6
2,85.8941,109.066,377.679,825.6
2,-90.8024,35.456,372.995,3028.55
2,83.44,104.816,370.465,286.15
2,-95.7106,32.5545,371.391,78.1
2,-24.5412,22.704,369.471,543.85
2,-22.0871,15.5519,369.274,139.4
2,-29.4494,22.704,369.496,420.5
2,88.3482,107.717,368.687,99.6
2,-34.3577,22.704,367.681,136.6
2,-31.9035,24.0532,367.697,214.3
2,-19.6329,14.2027,367.496,157.15
2,-88.3483,39.7067,367.583,1964.4
2,-58.8988,22.704,365.788,394.45
2,-90.8024,41.0558,363.636,121
2,-90.8024,32.5545,365.914,1317.2
2,-93.2565,31.2053,365.636,1329.55
2,-46.6282,15.5519,365.765,1769.15
2,-41.72,26.9547,365.82,3726.45
2,-46.6282,24.0532,363.984,203.75
2,-44.1741,14.2027,363.994,335.2
2,-88.3483,36.8052,360.366,119.8
2,88.3482,104.816,359.395,805.6
2,-85.8941,41.0558,360.419,145.9
2,-39.2659,14.2027,358.617,131.4
2,85.8941,103.467,357.633,1517.7
2,-127.614,45.3065,353.106,2901.05
2,-39.2659,28.3038,349.455,3574.15
2,-125.16,52.4586,349.462,3021.95
2,-127.614,48.208,349.242,3374.7
2,90.8023,103.467,344.895,103.65
2,-31.9035,18.4534,343.987,114.35
2,-73.6235,39.7067,344.013,2934.25
2,-22.0871,24.0532,342.272,105.55
2,-26.9953,24.0532,342.201,668.35
2,85.8941,100.565,341.306,523.7
2,-29.4494,11.3012,342.255,120.9
2,-53.9906,45.3065,342.068,366.05
2,-31.9035,15.5519,342.279,591.8
2,-112.889,36.8052,339.232,311.65
2,-76.0777,41.0558,338.368,1617.7
2,-36.8118,26.9547,338.492,2165.3
2,-53.9906,-133.221,336.364,29.6
2,-90.8024,43.9573,338.554,68.85
2,-122.706,48.208,336.771,86.4
2,-130.068,43.9573,334.778,212.6
2,-78.5318,39.7067,332.818,392.45
2,90.8023,100.565,332.12,328.6
2,-125.16,49.5571,331.187,2299.75
2,88.3482,99.2159,330.376,1202.25
2,-49.0824,31.2053,323.932,89.05
2,93.2565,53.8078,317.681,24.8
2,-122.706,53.8078,320.347,1837.55
2,-39.2659,31.2053,320.273,3171
2,-41.72,15.5519,318.565,88.9
2,-53.9906,31.2053,316.702,956.9
2,88.3482,96.3143,315.693,881.9
2,-44.1741,28.3038,316.754,2011.4
2,-125.16,43.9573,314.927,490.9
2,-51.5365,32.5545,313.038,247.3
2,-71.1694,41.0558,311.397,442.35
2,-41.72,32.5545,311.211,2862.05
2,-78.5318,36.8052,307.711,97.45
2,-68.7153,-104.816,301.673,77.85
2,-56.4447,-128.97,300.381,33.6
2,-117.798,45.3065,302.241,2943.9
2,-44.1741,31.2053,302.187,2005
2,-53.9906,39.7067,302.07,2475.5
2,-56.4447,35.456,300.233,2563.3
2,90.8023,94.9652,299.547,1952.45
2,93.2565,96.3143,299.334,208.95
2,-51.5365,41.0558,294.935,2597.4
2,-56.4447,41.0558,291.149,1960.45
2,-115.344,49.5571,287.598,2218.8
2,-120.252,41.0558,287.67,2283.7
2,-53.9906,36.8052,287.508,867
2,90.8023,92.0637,284.972,1143.7
2,-80.9859,35.456,285.898,103.9
2,-112.889,39.7067,285.874,95.5
2,-49.0823,36.8052,283.879,119.6
2,-63.8071,36.8052,283.895,292.85
2,-61.353,35.456,284.048,455.95
2,-110.435,41.0558,284.076,76.15
2,-51.5365,35.456,281.956,192.1
2,-46.6282,35.456,282.114,96.45
2,-117.798,39.7067,282.041,878.6
2,-115.344,43.9573,282.101,198.1
2,-110.435,49.5571,280.392,103.25
2,-58.8988,39.7067,280.108,372.45
2,-58.8988,36.8052,280.353,180.95
2,-49.0823,39.7067,276.759,1320.1
2,-46.6282,41.0558,276.721,335.5
2,-44.1741,39.7067,276.817,203.2
2,-115.344,41.0558,276.654,81.4
2,-36.8118,32.5545,274.088,2881.8
2,-112.889,48.208,274.856,120.7
2,-120.252,43.9573,274.989,158.1
2,93.2565,90.7145,272.132,954.55
