psa,x,y,z,pad,mult,rank
max,-7.36237,32.5545,508.72,1017,1,0
max,-4.90825,31.2053,506.88,1018,1,0
max,-4.90825,28.3038,506.88,1019,1,0
max,-2.45413,26.9547,449.84,1021,1,0
max,-1.33514e-05,28.3038,449.84,1022,1,0
max,-1.33514e-05,31.2053,453.52,1023,1,0
max,2.4541,26.9547,451.68,1024,1,0
max,2.45413,32.5545,453.52,1025,1,0
max,4.90825,31.2053,453.52,1026,1,0
max,7.36237,32.5545,385.44,1028,1,0
max,7.36237,26.9547,385.44,1029,1,0
max,9.81648,28.3038,385.44,1030,1,0
max,9.81648,31.2053,385.44,1031,1,0
max,12.2706,32.5545,385.44,1033,1,0
max,49.0824,28.3038,282.4,1062,1,0
max,93.2565,31.2053,276.88,1098,1,0
max,-171.788,36.8729,429.6,1183,1,0
max,-166.88,39.8421,429.6,1184,1,0
max,-161.972,36.8729,431.44,1185,1,0
max,-157.064,39.8421,490.32,1186,1,0
max,-152.155,36.8729,545.52,1187,1,0
max,-147.247,39.8421,545.52,1188,1,0
max,-142.339,36.8729,545.52,1189,1,0
max,-137.431,39.8421,597.04,1190,1,0
max,-134.976,35.456,597.04,1191,1,0
max,-132.522,36.8052,598.88,1192,1,0
max,-132.522,39.7067,597.04,1193,1,0
max,-130.068,35.456,597.04,1194,1,0
max,-130.068,41.0558,598.88,1195,1,0
max,-127.614,36.8052,600.72,1197,1,0
max,-125.16,41.0558,654.08,1198,1,0
max,-125.16,35.456,598.88,1199,1,0
max,-117.798,39.7067,641.2,1204,1,0
max,-117.798,36.8052,641.2,1205,1,0
max,-115.344,41.0558,641.2,1206,1,0
max,-115.344,35.456,643.04,1207,1,0
max,-112.889,36.8052,641.2,1208,1,0
max,-112.889,39.7067,643.04,1209,1,0
max,-110.435,35.456,643.04,1210,1,0
max,-110.435,41.0558,643.04,1211,1,0
max,-107.981,39.7067,641.2,1212,1,0
max,-107.981,36.8052,643.04,1213,1,0
max,-105.527,41.0558,643.04,1214,1,0
max,-105.527,35.456,643.04,1215,1,0
max,-103.073,36.8052,643.04,1216,1,0
max,-103.073,39.7067,643.04,1217,1,0
max,-100.619,35.456,644.88,1218,1,0
max,-90.8024,41.0558,609.92,1227,1,0
max,-71.1694,35.456,650.4,1242,1,0
max,-68.7153,39.7067,652.24,1244,1,0
max,-68.7153,36.8052,650.4,1245,1,0
max,-66.2612,41.0558,652.24,1246,1,0
max,-66.2612,35.456,652.24,1247,1,0
max,-63.8071,36.8052,652.24,1248,1,0
max,-63.8071,39.7067,652.24,1249,1,0
max,-61.353,35.456,652.24,1250,1,0
max,-61.3529,41.0558,652.24,1251,1,0
max,-58.8988,39.7067,652.24,1252,1,0
max,-58.8988,36.8052,652.24,1253,1,0
max,-56.4447,41.0558,654.08,1254,1,0
max,-56.4447,35.456,652.24,1255,1,0
max,-53.9906,36.8052,652.24,1256,1,0
max,-53.9906,39.7067,654.08,1257,1,0
max,-36.8118,35.456,611.76,1271,1,0
max,-34.3576,36.8052,611.76,1272,1,0
