pad,x,y
436,-12.2706,15.5519
437,-12.2706,9.95207
438,-9.81648,11.3012
439,-9.81648,14.2027
442,-4.90825,14.2027
443,-4.90825,11.3012
444,-2.45413,15.5519
445,-2.45413,9.95207
446,-1.33514e-05,11.3012
447,-1.33514e-05,14.2027
448,2.4541,9.95207
449,2.45413,15.5519
450,4.90825,14.2027
451,4.90825,11.3012
452,7.36237,15.5519
454,9.81648,11.3012
455,9.81648,14.2027
456,12.2706,9.95207
457,12.2706,15.5519
458,14.7247,14.2027
459,14.7247,11.3012
460,17.1788,15.5519
461,17.1788,9.95207
462,19.6329,11.3012
463,19.6329,14.2027
464,22.0871,9.95207
465,22.0871,15.5519
466,24.5412,14.2027
467,24.5412,11.3012
468,26.9953,15.5519
469,26.9953,9.95207
470,29.4494,11.3012
471,29.4494,14.2027
472,31.9035,9.95207
473,31.9035,15.5519
474,34.3577,14.2027
475,34.3577,11.3012
476,36.8118,15.5519
477,36.8118,9.95207
478,39.2659,11.3012
479,39.2659,14.2027
480,41.72,9.95207
481,41.72,15.5519
482,44.1741,14.2027
483,44.1741,11.3012
484,46.6282,15.5519
485,46.6282,9.95207
486,49.0824,11.3012
487,49.0824,14.2027
488,51.5365,9.95207
489,51.5365,15.5519
490,53.9906,14.2027
491,53.9906,11.3012
492,56.4447,15.5519
493,56.4447,9.95207
494,58.8988,11.3012
495,58.8988,14.2027
496,61.3529,9.95207
497,61.3529,15.5519
498,63.8071,14.2027
499,63.8071,11.3012
500,66.2612,15.5519
501,66.2612,9.95207
502,68.7153,11.3012
503,68.7153,14.2027
504,71.1694,9.95207
505,71.1694,15.5519
506,73.6235,14.2027
507,73.6235,11.3012
508,76.0776,15.5519
509,76.0776,9.95207
510,78.5318,11.3012
511,78.5318,14.2027
512,80.9859,9.95207
513,80.9859,15.5519
514,83.44,14.2027
515,83.44,11.3012
516,85.8941,15.5519
517,85.8941,9.95207
518,88.3483,11.3012
519,88.3483,14.2027
520,90.8024,9.95207
521,90.8024,15.5519
522,93.2565,14.2027
523,93.2565,11.3012
524,95.7106,15.5519
525,95.7106,9.95207
526,98.1647,11.3012
527,98.1647,14.2027
528,100.619,9.95207
529,100.619,15.5519
530,103.073,14.2027
531,103.073,11.3012
532,105.527,15.5519
533,105.527,9.95207
534,107.981,11.3012
535,107.981,14.2027
536,110.435,9.95207
537,110.435,15.5519
538,112.889,14.2027
539,112.889,11.3012
540,115.344,15.5519
541,115.344,9.95207
542,117.798,11.3012
543,117.798,14.2027
544,120.252,9.95207
545,120.252,15.5519
546,122.706,14.2027
547,122.706,11.3012
548,125.16,15.5519
